Genotypes,Abbreviate form,DFF,FD,FL,FW,NDVI,PH,SLA,SPAD,TF,YPP,Gid
SU‐212,G104,102.07,55.45,5.54,8.04,0.6,119.82,100.45,43.19,13.21,6.88,104
SU‐213,G105,86.57,66.35,6.63,8.9,0.47,109.82,141.39,47.75,13.71,7.46,105
SU‐214,G106,85.57,68.94,6.89,8.3,0.58,116.82,188.58,50.55,13.71,6.13,106
SU‐215,G107,89.57,48.93,4.89,8.28,0.47,114.82,111.34,57.47,13.71,6.56,107
SU‐216,G108,92.57,41.12,4.11,7.7,0.59,135.82,99.28,47.13,15.71,6.86,108
SU‐217,G109,95.07,40.07,4.01,5.87,0.56,105.32,213.07,52.69,11.96,5.46,109
SU‐218,G110,99.32,32.18,3.22,6.26,0.55,110.82,201.1,51.14,12.96,5.32,110
SU‐219,G111,99.32,36.11,3.61,7.32,0.5,99.82,173.87,54.73,13.96,6.25,111
SU‐220,G112,101.32,24.04,2.4,4.6,0.59,115.82,185.8,64.98,12.96,4,112
SU‐221,G113,101.32,31.35,3.13,6.4,0.38,95.82,169.94,39.28,15.96,5.92,113
SU‐222,G114,102.32,24.53,2.45,5.4,0.52,125.82,111.6,43.7,14.96,4.1,114
SU‐223,G115,102.32,32,3.2,6.21,0.44,104.82,170.12,53.17,12.96,5.39,115
SU‐224,G116,99.32,48.13,4.81,7.19,0.57,110.82,105.19,47.69,12.96,6.18,116
SU‐225,G117,99.32,54.05,5.4,9.91,0.48,119.82,132.08,49.91,13.96,7.48,117
SU‐226,G118,98.32,41.21,4.12,8.6,0.47,110.82,117.64,56.38,14.96,7.07,118
SU‐227,G119,92.07,23.95,2.4,4.37,0.5,109.32,220.95,52.7,12.96,6.78,119
SU‐228,G120,96.32,41.96,4.2,6.3,0.59,124.82,93.7,52.24,21.96,8.36,120
SU‐229,G121,91.07,37.34,3.73,4.95,0.68,104.32,139.83,61.57,11.96,5.42,121
SU‐230,G122,97.32,27.07,2.71,5.01,0.47,131.82,242.85,47.74,12.96,3.78,122
SU‐231,G123,95.07,23.14,2.31,4.68,0.52,111.32,121.36,41.85,11.96,5.84,123
SU‐232,G124,99.32,48.65,4.86,8.3,0.5,120.82,134.51,43.16,12.96,5.43,124
SU‐233,G125,95.07,27.2,2.72,5.96,0.52,109.32,133.92,45.23,21.96,11.51,125
SU‐234,G126,97.07,61.56,6.16,5.99,0.53,109.32,178.61,52.17,12.96,6.89,126
SU‐235,G127,97.07,40.5,4.05,4.87,0.58,114.32,132.18,44.45,12.96,7.73,127
SU‐38,G128,109.82,62.47,6.25,8.98,0.57,104.57,107.35,38.55,12.21,7.04,128
SU‐39,G129,91.82,70.5,7.05,7.46,0.58,100.57,86.12,47.21,18.21,9.22,129
SU‐43,G130,89.82,82.55,8.26,9.78,0.71,93.57,97.69,58.46,49.21,0.24,130
